Ad ID Request/Update Date,App Latest Version,App Live Date,Studio Name,Project code,App Name,Platform,Ad Network,Device,Ad Unit Type,Ad Size,Ad Unit ID,Secondary Ad Unit ID,Store/Bundle ID,App Orientation,"Week 0
Impressions","Week 1
Impressions","Week 0
eCPM","Week 1
eCPM","Week 0
Revenue","Week 1
Revenue",Week 0 Sessions,Week 1 Sessions,Week 0 Impressions per Sessions,Week 1 Impressions per Sessions,Week 1 Revenue per Sessions,Comment,Ad Network Dashboard Traffic Check,Ad unit ID copied correctly to Mediator,Mediator Waterfall Traffic Check,Charles Proxy Check
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Mopub,Phone,Interstitial,320x480,e5ded82cd19e4bc285bc352df4275308,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Mopub,Phone,Interstitial,320x480,e5ded82cd19e4bc285bc352df4275308,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Mopub,Tablet,Banner,728x90,d0bb0aec4f9041e6b62cdc436cbecd23,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Mopub,Tablet,Banner,728x90,d0bb0aec4f9041e6b62cdc436cbecd23,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,,,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Mopub,Tablet,Interstitial,768x1024,548033b2b8ba4dbba0ce6ea680706150,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/12/2015,,,Simply Fun Media,SFM404G,Secret Princess in High School,GP,Mopub,Tablet,Interstitial,768x1024,548033b2b8ba4dbba0ce6ea680706150,,com.simplyfunmedia.android_secretprincesshigh,Portrait,,,,,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Admob,Phone,Banner,320x50,ca-app-pub-9846322689249402/5800160371,,1059627312,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Admob,Phone,Banner,320x50,ca-app-pub-9846322689249402/5800160371,,1059627312,Portrait,,,,,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Admob,Phone,Interstitial,320x480,ca-app-pub-9846322689249402/8753626773,,1059627312,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Admob,Phone,Interstitial,320x480,ca-app-pub-9846322689249402/8753626773,,1059627312,Portrait,,,,,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Admob,Tablet,Banner,728x90,ca-app-pub-9846322689249402/7276893570,,1059627312,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Admob,Tablet,Banner,728x90,ca-app-pub-9846322689249402/7276893570,,1059627312,Portrait,,,,,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Admob,Tablet,Interstitial,768x1024,ca-app-pub-9846322689249402/1230359979,,1059627312,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Admob,Tablet,Interstitial,768x1024,ca-app-pub-9846322689249402/1230359979,,1059627312,Portrait,,,,,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Mopub,Phone,Banner,320x50,c588cd1fa7974d52bac858db9e19adad,,1059627312,Portrait,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,
11/9/2015,,,Mommy and Me Inc,MAM210,Baby Shower Welcome Party,iOS,Mopub,Phone,Banner,320x50,c588cd1fa7974d52bac858db9e19adad,,1059627312,Portrait,,,,,,,,,,,,,,,,
